"primary_project","project_id",stream,"stream_id"
"10030815_SGM_cc0819ac_VIP_APP_MISRA",12721,"10030815_SGM_cc0819ac_VIP_APP_MISRA_NOSLEEP",11975
"10031729_nis_hkp",12741,"10031729_nis_hkp_all",11989
"10028809_MT62p1G",10502,"10028809_MT62p1G_All",12005
"10031391_SGM_358_ICI20P_VIP",12743,"10031391_SGM_358_ICI20P_VIP_1",11990
"10024832_MT62P1_MAIN",12748,"10024832_MT62P1_MAIN_NA_SS",11993
"10024832_MT62P1_MAIN",12748,"10024832_MT62P1_MAIN_BSTC1_SS",11994
"10024832_MT62P1_MAIN",12748,"10024832_MT62P1_MAIN_BSTC2_SS",11995
"10032088_MY22_BMW_MLD_Cluster_Gen5",12764,"10032088_MY22_BMW_MLD_Cluster_Gen5_GC_UBOOT",12006
"10030784_MT62P1U_CTC",12752,"10030784_MT62P1U_CTC_EWG_TURBO_3CYL_CI",11996
"10029916_HPAD_FASIP_Aurix_BMW_MY2021",12646,"10029916_HPAD_FASIP_Aurix_BMW_MY2021_BLU",12008
"10030784_MT62P1U_CTC",12752,"10030784_MT62P1U_CTC_EWG_TURBO_CI",11998
"10031329_SCANIA_SRR3T_SW",12768,"10031329_SCANIA_SRR3T_SW_sjj6ks",12010
"10030784_MT62P1U_CTC",12752,"10030784_MT62P1U_CTC_NA_CVVL_CI",11999
"10030784_MT62P1U_CTC",12752,"10030784_MT62P1U_CTC_NA_SS",12000
"10031275_MPAD_FASIP_Aurix_BMW_MY2021",12644,"10031275_MPAD_FASIP_Aurix_BMW_MY2021_BLU",12009
"10030784_MT62P1U_CTC",12752,"10030784_MT62P1U_CTC_ALL",12001
DABTUNER,12027,"DABTUNER_SEM",12011
"10030323_PS20BC_Btl",12758,"10030323_PS20BC_Btl_cov",12002
"10024180_GM_K2XX",10702,"10024180_Jag",12003
"10031883_PODS_D_BMW",12761,"10031883_PODS_D_BMW_stream1",12004
"10032088_MY22_BMW_MLD_Cluster_Gen5",12764,"10032088_MY22_BMW_MLD_Cluster_Gen5_GC_UBOOT_MISRA",12012
"10030428_MT05p3",11916,"10030428_MT05p3_TwoWheeler",12021
"IDIMDFBB_mdf_telematics_interface",12772,"IDIMDFBB_mdf_telematics_interface_linux_host",12013
"10028955_MT92C",11082,"10028955_MT92C_ALL",12016
"IDIMDFBB_mdf_telematics_interface",12772,"IDIMDFBB_mdf_telematics_interface_qnx_j6",12014
"19910101_RAPHAEL",12777,"19910101_RAPHAEL_TEST_1",12017
"10029916_CoreIO_Linux",12780,"10029916_CoreIO_Linux_001",12019
"10030181_Volvo_GTT_IC",11112,"10030181_Volvo_GTT_IC_VP_FBL_Overview",12018
"10030428_MT05p3",11916,"10030428_MT05p3_General",12022
"10031654_GWM_AB30_IFV300",12241,"10031654_GWM_AB30_IFV300_H9_Host",12023
"10031654_GWM_AB30_IFV300",12241,"10031654_GWM_AB30_IFV300_EC01_Host",12024
"10032291_APC_GWM_P3011_Pickup_IFV151_MY20",12661,"10032291_APC_GWM_P3011_Pickup_IFV151_MY20_test",12025
"10031261_DEA7XX_APP",12788,"10031261_DEA7XX_APP_linux_host",12026
"IDIMDFBB_mdf_vp2_pits",10172,"IDIMDFBB_mdf_vp2_pits_host",12028
"10029808_GWMCH072_BCM_MY19",12793,"10029808_GWMCH072_BCM_MY19_PPAP01",12029
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_btmdiag",12030
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_lvdsdiagnosticproxies",12031
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_stompkeyhandler",12032
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_connectivitydiagnostics",12033
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_gnssserver",12034
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_networkconfiguration",12035
"IDIMDFBB_mdf_vp2_pits",10172,"IDIMDFBB_mdf_vp2_pits_qnx_j5",12036
"IDIMDFBB_mdf_vp2_pits",10172,"IDIMDFBB_mdf_vp2_pits_qnx_j6",12037
"IDIMDFBB_mdf_external_interfaces_ap_DEA7XX",12803,"IDIMDFBB_mdf_external_interfaces_ap_DEA7XX_linux_host",12038
"IDIMDFBB_mdf_dea7xx_pits",12805,"IDIMDFBB_mdf_dea7xx_pits_linux_host",12039
"10031385_APC_MY2017_ChangAn_PHEV_CIDD",12005,"10031385_APC_MY2017_ChangAn_PHEV_CIDD_6",12061
"10030524_APC_SGM_K256_BRS",11524,"10030524_APC_SGM_K256_BRS 1",12045
"10030945_AUDIMIB3_TOP_IOC",12129,"10030945_AUDIMIB3_TOP_IOC_DEV_RUN_1",12041
"10030945_AUDIMIB3_TOP_IOC",12129,"10030945_AUDIMIB3_TOP_IOC_DEV_RUN_2",12042
"10030945_AUDIMIB3_TOP_IOC",12129,"10030945_AUDIMIB3_TOP_IOC_DEV_RUN_3",12043
"10031663_SGM_358_HWA",12487,"10031663_SGM_358_HWA_HANDCODE",12046
"10030945_AUDIMIB3_TOP_IOC",12129,"10030945_AUDIMIB3_TOP_IOC_DEV_RUN_4",12044
"10031406_CH151X_BCM_eng0E_",12812,"10031406_CH151X_BCM_eng0E",12040
"10031452_Project_Phoenix_SW",12078,"10031452_Project_Phoenix_SW_Platform_GHS",12051
"10032088_MY22_BMW_MLD_Cluster_Gen5",12764,"10032088_MY22_BMW_MLD_Cluster_Gen5_Build_Server_Stream",12048
"10031385_APC_MY2017_ChangAn_PHEV_CIDD",12005,"10031385_APC_MY2017_ChangAn_PHEV_CIDD_5",12056
"IDIMDFBB_mdf_tuner_mgr",10407,"IDIMDFBB_mdf_tuner_mgr_linux_x86_all",12049
"10029916_CoreIO_Linux",12780,"10029916_CoreIO_Linux_Misra_001",12057
"10031452_Project_Phoenix_SW",12078,"10031452_Project_Phoenix_SW_Platform_GHS_MISRA",12050
"10031385_APC_MY2017_ChangAn_PHEV_CIDD",12005,"10031385_APC_MY2017_ChangAn_PHEV_CIDD_3",12055
"10031406_CH151X_BCM",12015,"10031406_CH151X_BCM_BSW",12058
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_camerastatus",12059
"IDIMDFBB_mdf_dfc_manager",12321,"IDIMDFBB_mdf_dfc_manager_j6",12071
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_wificonfiguration",12060
"10031663_SGM_358_HWA",12487,"10031663_SGM_358_HWA_IoHwAb",12062
"10029808_GWMCH072_BCM_MY19",12793,"CH072_MY19_PPAP01a",12063
"10030170_IHU_Android",12387,"10030170_IHU_Android_test",12064
"IDIMDFBB_mdf_cdd_ipc",12724,"IDIMDFBB_mdf_cdd_ipc_j6",12082
"10029732_FERRARI_NIT",11911,"10029732_FERRARI_NIT_AA",12065
"10032172_APC_GAC_A26_A12_A39_A86_IFV300_MY19",12823,"10032172_APC_GAC_A26_A12_A39_A86_IFV300_MY19_Host",12067
"10031663_SGM_358_HWA",12487,"10031663_SGM_358_HWA_ALL",12069
"10030968_P2952_SEM",11684,"10030968_P2952_SEM_MP_aplist",12070
"IDIMDFBB_mdf_socket_frame_stream",12283,"IDIMDFBB_mdf_socket_frame_stream_linux_host",12072
"IDIMDFBB_mdf_socket_frame_stream",12283,"IDIMDFBB_mdf_socket_frame_stream_j6",12086
"10032301_MY20_FCA_DT_RFHUB",12853,"10032301_MY20_FCA_DT_RFHUB_ws",12097
"IDIMDFBB_mdf_jlr_vip_power_mode",12839,"IDIMDFBB_mdf_jlr_vip_power_mode_host",12087
"IDIMDFBB_mdf_jlr_vip_power_mode",12839,"IDIMDFBB_mdf_jlr_vip_power_mode_j6",12088
"IDIMDFBB_mdf_cdd_ipc",12724,"IDIMDFBB_mdf_cdd_ipc_gtest",12083
"IDIMDFBB_mdf_com_mfr_jlr",12727,"IDIMDFBB_mdf_com_mfr_jlr_j6",12084
"IDIMDFBB_mdf_com_mfr_jlr",12727,"IDIMDFBB_mdf_com_mfr_jlr_gtest",12085
"IDIMDFBB_mdf_jlr_vip_power_mode",12839,"IDIMDFBB_mdf_jlr_vip_power_mode_gtest",12089
"10032388_ASDM_Vehicle_Demo_Platform",12843,"10032388_ASDM_Vehicle_Demo_Platform_all",12090
"IDIMDFBB_mdf_isp_diag_interface",12271,"IDIMDFBB_mdf_isp_diag_interface_gtest",12091
"IDIMDFBB_mdf_isp_diag_interface",12271,"IDIMDFBB_mdf_isp_diag_interface_j6",12092
"IDIMDFBB_mdf_isp_can_diagnostics",12622,"IDIMDFBB_mdf_isp_can_diagnostics_gtest",12093
"IDIMDFBB_mdf_isp_can_diagnostics",12622,"IDIMDFBB_mdf_isp_can_diagnostics_j6",12094
"IDIMDFBB_mdf_nis_can_diagnostics",12849,"IDIMDFBB_mdf_nis_can_diagnostics_linux_host",12095
"10032071_APC_Geely_GEEA2p0_VGM_MY20",12612,"10032071_APC_Geely_GEEA2p0_VGM_MY20_E2",12135
"10031654_GWM_AB30_IFV300",12241,"10031654_GWM_AB30_IFV300_CHB131B_Host",12132
"12345678_dmg",10083,"12345678_dmg_foobar",12133
"10032169_APC_Geely_G_pilot3_0_SRR5_MY20",12944,"10032169_APC_Geely_G_pilot3_0_SRR5_MY20_sjj",12161
"CC0818AC_ici2_0",12737,"CC0818AC_ici2_0_p_m4",12134
"IDIMDFBB_mdf_bt_pbook_db_DEA7XX",12909,"IDIMDFBB_mdf_bt_pbook_db_DEA7XX_linux_host",12136
BUDHISAGAR,12936,"BUDHISAGAR_SGM358_cov",12152
